#Network , Station , Latitude , Longitude , Elevation , SiteName , StartTime , EndTime
IM,PD03,42.775902,-109.549599,2293.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
IM,PD04,42.765999,-109.574402,2184.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
IM,PD05,42.770401,-109.566597,2184.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
IM,PD06,42.766701,-109.558296,2224.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
IM,PD07,42.770401,-109.544502,2331.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
IM,PD08,42.7589,-109.583603,2190.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
IM,PD09,42.761799,-109.5672,2208.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
IM,PD10,42.759499,-109.556999,2216.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
IM,PD11,42.752602,-109.576897,2182.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
IM,PD12,42.7551,-109.563103,2186.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
IM,PD13,42.7551,-109.549698,2337.0,"PDAR Array, Pinedale, WY, USA",1995-08-23T00:00:00,
IM,PD31,42.7672,-109.558098,2219.0,"PDAR Array, Pinedale, WY, USA",1995-07-15T00:00:00,
IM,PD32,42.7672,-109.558098,2219.0,Pine Dale Array Site 32,1972-01-03T00:00:00,
IM,TX01,29.334,-103.667702,996.8,"TXAR Array, Lajitas, TX, USA",1995-04-03T00:00:00,
IM,TX02,29.329901,-103.657997,965.3,"TXAR Array, Lajitas, TX, USA",1995-03-29T00:00:00,
IM,TX03,29.3314,-103.674301,996.5,"TXAR Array, Lajitas, TX, USA",1972-01-03T00:00:00,
IM,TX04,29.339899,-103.667297,997.2,"TXAR Array, Lajitas, TX, USA",1995-03-29T00:00:00,
IM,TX06,29.319,-103.681999,939.5,"TXAR Array, Lajitas, TX, USA",1995-03-29T00:00:00,
IM,TX07,29.340401,-103.689003,1069.7,"TXAR Array, Lajitas, TX, USA",1995-03-29T00:00:00,
IM,TX08,29.350901,-103.676903,1044.5,"TXAR Array, Lajitas, TX, USA",1995-03-29T00:00:00,
IM,TX09,29.3437,-103.660202,988.3,"TXAR Array, Lajitas, TX, USA",1995-03-29T00:00:00,
IM,TX10,29.3305,-103.703499,1034.1,"TXAR Array, Lajitas, TX, USA",1995-03-29T00:00:00,
IM,TX11,29.3344,-103.667702,1003.4,"TXAR Array, Lajitas, TX, USA",2000-12-14T00:00:00,2018-03-27T17:51:20
IM,TX31,29.334299,-103.667702,991.4,"TXAR Array, Lajitas, TX, USA",1998-10-30T00:00:00,
IM,TX32,29.334,-103.667702,995.5,Lajitas Array Site 32 (same as tx01 and TX00),2000-12-14T00:00:00,
IU,AAE,9.0292,38.7656,2442.0,"Addis Ababa, Ethiopia",1994-12-12T00:00:00,1997-09-16T00:00:00
IU,ADK,51.8823,-176.6842,130.0,"Adak, Aleutian Islands, Alaska",2009-07-19T00:00:00,
IU,AFI,-13.9085,-171.7827,706.0,"Afiamalu, Samoa",2010-02-23T00:00:00,
IU,ANMO,34.94591,-106.4572,1820.0,"Albuquerque, New Mexico, USA",2008-06-30T20:00:00,
IU,ANTO,39.868,32.7934,1090.0,"Ankara, Turkey",2010-07-23T00:00:00,
IU,BBSR,32.371299,-64.696299,30.0,"Bermuda Institute of Ocean Sciences, St George's Bermuda",2008-08-01T00:00:00,
IU,BILL,68.0653,166.4531,320.0,"Bilibino, Russia",2014-11-16T00:00:00,
IU,BOCO,4.5869,-74.0432,3160.0,"Bogota, Colombia",1996-03-26T19:00:00,1996-08-22T00:00:00
IU,CASY,-66.2792,110.5354,10.0,"Casey, Antarctica",2012-01-20T00:00:00,
IU,CCM,38.0557,-91.2446,222.0,"Cathedral Cave, Missouri, USA",2011-07-14T00:00:00,
IU,CHTO,18.8141,98.9443,420.0,"Chiang Mai, Thailand",2009-09-19T14:35:27,
IU,COL,64.9,-147.7933,320.0,"College Outpost, Alaska, USA",1997-08-22T00:00:00,1997-10-30T00:00:00
IU,COLA,64.873599,-147.8616,200.0,"College Outpost, Alaska, USA",2009-07-09T00:00:00,
IU,COR,44.5855,-123.3046,110.0,"Corvallis, Oregon, USA",2009-09-26T00:00:00,
IU,CTAO,-20.08765,146.24998,367.0,"Charters Towers, Australia",2019-05-17T00:00:00,
IU,DAV,7.0697,125.5791,151.0,"Davao, Philippines",2011-07-27T00:00:00,
IU,DWPF,28.1103,-81.4327,30.0,"Disney Wilderness Preserve, Florida, USA",2010-09-24T00:00:00,
IU,FUNA,-8.5259,179.1966,20.0,"Funafuti, Tuvalu",2011-01-12T00:00:00,
IU,FURI,8.8952,38.6798,2570.0,"Mt. Furi, Ethiopia",2012-10-26T00:00:00,
IU,GNI,40.148,44.741,1609.0,"Garni, Armenia",2010-10-07T00:00:00,
IU,GRFO,49.6909,11.2203,384.0,"Grafenberg, Germany",2015-01-19T00:00:00,
IU,GUMO,13.5893,144.8684,170.0,"Guam, Mariana Islands",2010-01-12T00:00:00,
IU,HKT,29.96478,-95.83812,69.0,"Hockley, Texas",2018-01-26T16:50:00,
IU,HNR,-9.4387,159.9475,100.0,"Honiara, Solomon Islands",2010-04-24T00:00:00,
IU,HRV,42.5064,-71.5583,200.0,"Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA",2008-09-22T00:00:00,
IU,INCN,37.47768,126.62436,55.0,"Inchon, Republic of Korea",2013-11-21T00:00:00,
IU,JOHN,16.7329,-169.5292,2.0,"Johnston Island, USA",2010-08-09T00:00:00,
IU,KBL,34.5408,69.0432,1920.0,"Kabul, Afghanistan",2006-11-09T00:00:00,
IU,KBS,78.9154,11.9385,90.0,"Ny-Alesund, Spitzbergen, Norway",2010-06-08T00:00:00,
IU,KEV,69.7565,27.0035,100.0,"Kevo, Finland",2008-09-11T00:00:00,
IU,KIEV,50.7012,29.2242,180.0,"Kiev, Ukraine",2017-11-07T00:00:00,
IU,KIP,21.42,-158.0112,110.0,"Kipapa, Hawaii, USA",2010-08-18T00:00:00,
IU,KMBO,-1.1271,37.2525,1950.0,"Kilima Mbogo, Kenya",2010-04-15T00:00:00,
IU,KNTN,-2.7744,-171.7186,20.0,"Kanton, Kiritibati",2009-05-11T00:00:00,
IU,KONO,59.6491,9.5982,216.0,"Kongsberg, Norway",2009-09-12T15:02:42,
IU,KOWA,14.4967,-4.014,321.0,"Kowa, Mali",2011-05-27T00:00:00,
IU,LCO,-29.011,-70.7005,2274.0,"Las Campanas Astronomical Observatory, Chile",2014-08-04T00:00:00,
IU,LSZ,-15.2779,28.1882,1200.0,"Lusaka, Zambia",2008-09-08T00:00:00,
IU,LVC,-22.6127,-68.9111,2960.0,"Limon Verde, Chile",2009-04-10T00:00:00,
IU,MA2,59.5756,150.77,337.0,"Magadan, Russia",2010-07-20T00:00:00,
IU,MACI,28.2502,-16.508199,1674.0,"Morro de la Arena, Canary Islands",2008-08-01T00:00:00,
IU,MAJO,36.54567,138.20406,405.0,"Matsushiro, Japan",2009-11-07T12:00:00,
IU,MAKZ,46.808,81.977,600.0,"Makanchi, Kazakhstan",2010-09-10T00:00:00,
IU,MBWA,-21.159,119.7313,190.0,"Marble Bar, Western Australia",2011-05-09T07:00:00,
IU,MIDW,28.2156,-177.3698,20.0,"Midway Island, USA",2013-07-28T03:00:00,
IU,MSKU,-1.6557,13.6116,312.0,"Masuku, Gabon",2009-07-30T00:00:00,2010-06-16T00:00:00
IU,NAI,-1.2739,36.8037,1692.0,"Nairobi, Kenya",1995-01-05T00:00:00,1995-09-18T00:00:00
IU,NWAO,-32.9277,117.239,380.0,"Narrogin, Australia",2011-04-30T02:00:00,
IU,OTAV,0.2376,-78.4508,3510.0,"Otavalo, Ecuador",2009-04-01T00:00:00,
IU,PAB,39.5446,-4.3499,950.0,"San Pablo, Spain",2009-08-14T00:00:00,
IU,PAYG,-0.6742,-90.2861,270.0,"Puerto Ayora, Galapagos Islands",2010-05-05T00:00:00,
IU,PET,53.0233,158.6499,110.0,"Petropavlovsk, Russia",2014-08-05T23:00:00,
IU,PMG,-9.4047,147.1597,90.0,"Port Moresby, New Guinea",2010-04-16T00:00:00,
IU,PMSA,-64.7744,-64.0489,40.0,"Palmer Station, Antarctica",2012-02-19T00:00:00,
IU,POHA,19.7573,-155.5326,1990.0,"Pohakuloa, Hawaii, USA",2011-01-20T00:00:00,
IU,PTCN,-25.0713,-130.0953,220.0,"Pitcairn Island, South Pacific",2014-11-30T00:00:00,
IU,PTGA,-0.7308,-59.9666,237.0,"Pitinga, Brazil",2009-11-06T12:00:00,
IU,QSPA,-89.9289,144.4382,2850.0,South Pole Remote Earth Science Observatory (Quiet Zone),2011-01-18T00:00:00,
IU,RAO,-29.245,-177.929,60.0,"Raoul, Kermadec Islands",2013-05-17T21:00:00,
IU,RAR,-21.2125,-159.7733,28.0,"Rarotonga, Cook Islands",2010-03-02T00:00:00,
IU,RCBR,-5.8274,-35.9014,400.0,"Riachuelo, Brazil",2009-07-29T00:00:00,
IU,RSSD,44.1212,-104.0359,2090.0,"Black Hills, South Dakota, USA",2009-09-09T00:00:00,
IU,SAML,-8.9489,-63.1831,120.0,"Samuel, Brazil",2009-11-14T00:00:00,
IU,SBA,-77.8492,166.7572,50.0,"Scott Base, Antarctica",2014-12-04T00:00:00,
IU,SDV,8.8839,-70.634,1620.0,"Santo Domingo, Venezuela",2010-01-17T00:00:00,
IU,SEO,37.5667,126.9667,86.0,"Seoul, South Korea",1994-11-26T00:00:00,1995-07-04T00:00:00
IU,SFJ,66.9967,-50.6156,365.0,"Sondre Stromfjord, Greenland",1996-03-21T00:00:00,2005-01-31T16:00:00
IU,SFJD,66.9961,-50.62076,330.0,"Sondre Stromfjord, Greenland",2008-09-20T00:00:00,
IU,SJG,18.1091,-66.15,420.0,"San Juan, Puerto Rico",2010-04-16T00:00:00,
IU,SLBS,23.6858,-109.9443,825.0,"Sierra la Laguna Baja California Sur, Mexico",2008-12-15T00:00:00,
IU,SNZO,-41.3087,174.7043,120.0,"South Karori, New Zealand",2010-12-10T00:00:00,
IU,SPA,-90.0,0.0,2927.0,"South Pole, Antarctica",1997-11-26T00:00:00,2004-01-08T00:00:00
IU,SSPA,40.6358,-77.8876,270.0,"Standing Stone, Pennsylvania",2010-09-27T00:00:00,
IU,TARA,1.3549,172.9229,20.0,"Tarawa Island, Republic of Kiribati",2009-11-13T00:10:27,
IU,TATO,24.9735,121.4971,160.0,"Taipei, Taiwan",2009-09-22T13:56:41,
IU,TBT,28.6794,-17.9145,180.0,"Taburiente, Canary Islands, Spain",1993-03-17T00:00:00,1996-08-22T00:00:00
IU,TEIG,20.2263,-88.2763,40.0,"Tepich, Yucatan, Mexico",2014-10-30T00:00:00,
IU,TIXI,71.6341,128.8667,40.0,"Tiksi, Russia",2014-09-21T00:00:00,
IU,TOL,39.8814,-4.048499,480.0,"Toledo, Spain",1991-08-09T00:00:00,1992-10-01T00:00:00
IU,TRIS,-37.0681,-12.3152,60.0,Tristan da Cunha,2016-03-18T00:00:00,
IU,TRQA,-38.0568,-61.9787,540.0,"Tornquist, Argentina",2009-05-19T20:00:00,
IU,TSUM,-19.2022,17.5838,1260.0,"Tsumeb, Namibia",2008-09-16T10:00:00,
IU,TUC,32.3098,-110.7847,910.0,"Tucson, Arizona",2009-05-28T19:40:00,
IU,ULN,47.8651,107.0532,1610.0,"Ulaanbaatar, Mongolia",2013-09-29T00:00:00,
IU,WAKE,19.2834,166.652,20.0,Wake Island,2009-05-11T00:00:00,
IU,WCI,38.2289,-86.2939,210.0,"Wyandotte Cave, Indiana, USA",2010-08-23T00:00:00,
IU,WVT,36.1297,-87.83,170.0,"Waverly, Tennessee, USA",2011-01-23T00:00:00,
IU,XMAS,2.0448,-157.4457,20.0,"Kiritimati Island, Republic of Kiribati",2014-03-14T00:00:00,
IU,YAK,62.031,129.6805,110.0,"Yakutsk, Russia",2013-05-28T00:00:00,
IU,YSS,46.9587,142.7604,150.0,"Yuzhno Sakhalinsk, Russia",2013-10-22T00:00:00,
MS,BTDF,1.3617,103.775002,57.0,Bukit Timah Dairy Farm,1996-01-01T00:00:00,
TS,PAS,34.14844,-118.17117,314.0,"Pasadena, California, USA",2001-05-01T00:00:00,
G,AGD,11.529,42.824001,450.0,"Arta Grotte - Arta, Republic of Djibouti",1985-03-09T00:00:00,1990-12-09T00:00:00
G,AIS,-37.796349,77.569183,35.9,"Nouvelle-Amsterdam - TAAF, France",1993-12-25T00:00:00,
G,ATD,11.530725,42.846634,610.0,"Arta Cave - Arta, Republic of Djibouti",1993-07-07T00:00:00,
G,BNG,4.435,18.547001,378.0,"Bangui, Republique Centrafricaine",1987-12-11T00:00:00,2001-01-01T00:00:00
G,CAN,-35.318714,148.996323,700.0,"Canberra, Australia",1987-11-27T00:00:00,
G,CAY,4.948,-52.317001,25.0,"Cayenne - French Guiana, France",1985-07-22T00:00:00,1991-09-30T00:00:00
G,CCD,-75.1065,123.305,3240.0,"Concordia Base, Dome C, Antartica",2007-01-01T00:00:00,
G,CLF,48.025791,2.26,145.0,"Chambon la Foret Observatory, France",2008-07-10T00:00:00,
G,COYC,-45.57299,-72.08139,235.0,"Coyhaique, Chile",2004-12-17T00:00:00,
G,CRZF,-46.43096,51.855308,140.0,"Port Alfred - Ile de la Possession - Crozet Islands, France",1986-02-01T00:00:00,
G,DRV,-66.664909,140.002075,40.0,"Dumont d'Urville - Terre Adelie, Antarctica",1986-02-01T00:00:00,
G,DZM,-22.07164,166.44377,878.0,"Dzumac - New Caledonia, France",2003-09-01T00:00:00,
G,ECH,48.216312,7.158961,580.0,"Echery - Sainte Marie aux Mines, France",1990-11-08T00:00:00,
G,EDA,3.778868,10.153427,140.0,"Edea, Cameroon",2019-05-04T00:00:00,
G,EVO,38.532001,-8.013,0.0,"Evora, Portugal",1996-02-07T00:00:00,2000-01-01T00:00:00
G,FDF,14.734971,-61.146311,467.0,"Fort de France - Martinique island, France",1998-11-25T00:00:00,2019-10-21T00:00:00
G,FDFM,14.73493,-61.159728,320.0,"Morne la Rosette, Martinique, France",2019-10-24T00:00:00,
G,FOMA,-24.97565,46.978877,28.0,"Nahampoana Reserve - Fort Dauphin, Madagascar",2008-09-01T00:00:00,
G,FUTU,-14.307673,-178.121063,97.0,"Maopo'opo, Futuna",2016-06-26T00:00:00,
G,GRC,47.2955,3.0736,191.0,"Garchy, France",2000-06-21T00:00:00,2002-12-19T09:00:00
G,HDC,10.00201,-84.11142,1186.0,"Heredia, Costa Rica",1997-03-08T00:00:00,
G,HYB,17.41867,78.55213,510.0,"Hyderabad, India",1989-01-15T00:00:00,
G,ICC,-20.284,-70.035004,950.0,"Iquique, Chile",1996-04-01T00:00:00,
G,INU,35.35,137.029,132.0,"Inuyama, Japan",1987-03-04T00:00:00,
G,IVI,61.205808,-48.171178,15.0,"Ivittuut, Greenland",2011-09-12T00:00:00,
G,KIP,21.42,-158.0112,110.0,"Kipapa, Hawaii, USA",1986-04-17T00:00:00,
G,KOG,5.207,-52.731998,10.0,"Kourou - French Guiana, France",1994-07-02T00:00:00,1999-12-19T08:32:00
